SF_ID_ENCR,ES_ECID,ES_HQECID,ES_MatchScore,ES_Tier,ES_WebsiteStatus,ES_InactiveFlag
1EB325037564D252D20F5CDA5C3C89FE,139083232,139083232,1,1,VALID,
485B67DC720208BA3BDC07D4D401CC86,,,,,,
41436D87F1B4D5216257B330E61F8A0C,162160765,162160765,1,1,VALID,
75A0DB392FF1165E05D04A106BFC46FB,107884840,107884840,1,2,VALID,
0A1F30D5FBD1EBD7D46C1592816AA0A9,103055384,103055384,1,1,VALID,
D60EB7ADD7EB1DEA0FCFF015EBC79421,109086265,109086265,1,1,VALID,
1D97338DC5C0E9382D77ACB25F6A2241,111196278,111196278,1,1,VALID,
D7B1428072F9B027CFA4A41A70B8BBE9,117017427,117017427,1,1,VALID,
58E26AC349BE5CC977009B68F13B0D75,148676824,148676824,1,1,VALID,
5DE77AE4764164CF988F9E56ED9ACDED,121919818,121919818,1,1,VALID,
05F08E757E84A107406EDF3896E465ED,114506043,114506043,1,1,VALID,
6004BDA9E7362AEEA0BAC66DAB0B4D20,138624473,138624473,1,1,VALID,
60C456D0647FACC08C4C1F81F9F3335C,200768715,200768715,1,1,VALID,
8F62DBB99163558FA788E639460254F4,148525755,148525755,1,1,VALID,
8BC151E9542E3AA66C2CA2C0A5B2096D,102915505,102915505,1,1,VALID,
6E63B88D6E4852EE03513F7448AC0E42,115056255,115056255,1,2,REDIRECT,
BC62C68AC2B6C88562639A37DED25A2E,161888174,161888174,1,1,VALID,
971D4C5FDC3DAAD02358A7D0D495BBF1,127413062,127413062,1,1,VALID,
382E751289BB219943456D2D9A8D0A9C,162355199,162355199,1,1,VALID,
D4039DC7ED1C61AE38EFB5E5B905866D,143113406,143113406,1,1,REDIRECT,
C9DF76AE88AA2C92EB6E51ED24D1C057,190322426,190322426,1,2,VALID,
C16A567B80F8C4A9B7A10A74FD539C1B,162249683,162249683,1,2,VALID,
0D19A52BF506CA1467A3AF9E1D146180,162321330,162321330,1,1,VALID,
D8D5A560C925E81C048ABD37214E54A0,106967429,106967429,1,2,VALID,
2A84013E4FD3DC82A4A387D2774AFEB9,111230341,111230341,1,1,VALID,
28E57459733FD09E0C33CDED6457958A,112215078,112215078,1,1,VALID,
EE1CEE929B562F3A2F34D8258F82FFD9,140607523,140607523,1,1,VALID,
45F06EABD3C2F1FDFAF0394ADB85C497,105897671,105897671,1,3,VALID,
EF13368A5B2DFF0724904D91B66102EF,128469875,128469875,1,2,VALID,
923FDCCB521C889310D3CDAEB5522E7E,111821116,111821116,1,1,VALID,
5EF744F2D2ACD02C81BC58AF12FC5D8D,147255801,147255801,1,3,VALID,
84ABE3F30C3EAA4C30E0D63F6E79205F,101107643,101107643,1,2,,
0A9036AA2E3719A22F17B23CE2EC0D97,163722799,163722799,1,1,VALID,
E3D4235CF98B8C89ADB7BA8E068EE617,141475849,141475849,1,1,VALID,
69CE427D77E69905433F7523ACCE6553,175625878,175625878,1,1,VALID,
9BB310708FD1C609732E6CA92E551E71,141514760,141514760,1,2,VALID,
06BA3E9CEAE9491AD9388199B4F0F2C7,,,,,,
478D8075DA1049032501F21D34A790CB,114524931,114524931,1,1,VALID,
